Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,an,hrmn,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100004127,194Â 364,B01,1,1,1,1,2,0,-1,-1, -1,-1,2021,24.0,3,1,6,2,1,1,1,,4,PRIMEVERES (R DES),0,,1,2,0,1,0,0,1,, -1,1,0,1,30,8,12,2021,14:15,1,94,94038,2,2,0,3,PRIMEVERES (R DES),48.7774,2.35304,14,2,2
202100046916,117Â 912,B01,1,1,1,1,2,6,-1,-1, -1,-1,2021,26.0,2,1,0,2,2,1,1,,4,AVE DE LABARDE,0,,2,2,1,1,(1),(1),1,, -1,1,0,1,50,23,3,2021,09:14,1,33,33063,2,1,0,3,Avenue de Labarde,44.88523,-0.54991,9,2,2
202100027748,152Â 109,A01,1,1,2,1,2,8,-1,-1, -1,-1,2021,18.0,1,1,8,0,3,1,1,,4,RAY GRASSI (AllÃ©e),0,,2,2,0,1,0,0,1,, -1,1,0,1,30,21,7,2021,20:00,1,13,13208,2,1,0,6,RAY GRASSI (AllÃ©e),43.27089,5.39654,20,1,1
202100028740,150Â 354,B01,1,1,1,5,2,-1,-1,0,0,-1,2021,69.0,1,1,0,2,6,2,5,,3,45,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,80,17,7,2021,09:15,1,18,18025,1,9,0,3,RD 45,47.103002,3.009117,9,2,2
202100032771,143Â 198,B01,1,1,1,5,2,-1,-1,0,0,-1,2021,17.0,2,1,0,2,4,15,1,,7,10,0,A,2,2,0,1,22,300,1,,6,1,0,1,80,22,6,2021,17:40,1,13,13051,1,1,0,2,D10,43.547117,5.160656,17,3,2
202100046955,117Â 846,B01,1,1,1,1,2,6,-1,0,0,-1,2021,61.0,2,1,0,2,2,2,1,,4,QUAI HENRI IV,0,,1,2,0,1,(1),(1),1,, -1,1,0,1,50,23,3,2021,18:15,2,75,75104,2,4,0,2,QUAI HENRI IV,48.8468734163,2.3652607708,18,2,2
202100016355,172Â 399,A01,10,3,2,5,0,-1,-1,2,3,1,2021,62.0,1,1,0,1,2,18,3,,4,AVENUE D ITALIE,0,,2,4,0,2,(1),(1),1,, -1,2,0,1,30,27,9,2021,12:16,1,75,75113,2,1,1,6,AVENUE D ITALIE,48.823529,2.35811,12,2,1
202100023005,160Â 506,B01,1,1,1,5,1,8,-1,0,0,-1,2021,56.0,2,2,0,2,1,13,1,,3,ROUTE DE LUANT,0,,2,2,0,1,45,856,1,, -1,1,0,1,80,18,3,2021,14:18,1,36,36202,1,1,0,1,Route de Luant,46.74577,1.621761,14,2,2
202100041608,127Â 230,A01,2,2,2,3,1,-1,-1,0,0,-1,2021,33.0,2,2,2,0,1,14,1,,2,1,0,R,2,2,0,2,164,0,3,, -1,2,0,3,110,4,5,2021,09:45,1,988,98803,1,1,1,6,RT1 - Col de Trazeignie,-21.58595,165.50665,9,2,1
202100031907,144Â 719,A01,1,1,2,9,2,0,-1,0,0,-1,2021,32.0,3,1,0,2,8,1,5,,4,PLACE DE LA CONCORDE,0,,2,4,0,1,(1),(1),1,, -1,1,0,1,50,28,6,2021,14:47,1,75,75108,2,7,0,3,PLACE DE LA CONCORDE,48.866615,2.321961,14,2,2
