place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
10,3,2,0.0,2021,19.0,2.0,1.0,1.0,4,2.0,1.0,1.0,30.0,4,11,5,59,59350,2,2,0.0,6.0,50.6325934047,3.0522062542,22,4,1
1,1,1,2.0,2021,78.0,1.0,2.0,1.0,3,1.0,1.0,1.0,50.0,8,7,1,58,58194,2,4,0.0,2.0,46.9885,3.1663,8,2,2
1,1,1,1.0,2021,42.0,2.0,0.0,1.0,3,3.0,1.0,1.0,90.0,29,11,4,80,80131,1,1,0.0,7.0,49.8516,2.4042,21,1,1
1,1,1,2.0,2021,55.0,1.0,6.0,1.0,3,2.0,1.0,1.0,70.0,9,9,2,73,73081,1,1,0.0,6.0,45.6911481,6.11196,6,2,2
1,1,2,1.0,2021,32.0,2.0,2.0,1.0,3,2.0,2.0,1.0,80.0,29,4,1,34,34113,1,1,1.0,1.0,43.511425,3.724397,8,2,2
1,1,1,1.0,2021,67.0,2.0,2.0,1.0,3,2.0,1.0,1.0,70.0,25,3,1,83,83097,1,1,0.0,3.0,43.496322,5.72919,7,2,2
2,2,2,1.0,2021,21.0,2.0,2.0,1.0,2,3.0,1.0,1.0,90.0,5,3,1,77,77122,1,1,0.0,2.0,48.6469354973,2.5768222928,16,3,2
1,1,1,2.0,2021,18.0,1.0,2.0,1.0,3,1.0,1.0,1.0,50.0,25,2,1,64,64348,2,6,0.0,3.0,43.30113,-0.41029,8,2,2
3,2,1,8.0,2021,3.0,2.0,2.0,1.0,7,2.0,1.0,1.0,50.0,11,5,1,69,69199,2,2,0.0,3.0,45.7055340489,4.8554557576,18,4,2
1,1,1,1.0,2021,44.0,5.0,2.0,1.0,2,1.0,1.0,1.0,90.0,3,8,1,14,14118,2,1,0.0,3.0,49.19844,-0.37346,16,3,2
1,1,1,2.0,2021,30.0,1.0,0.0,5.0,3,2.0,1.0,1.0,80.0,6,6,1,6,6041,1,1,0.0,6.0,43.770071,6.972027,10,1,1
1,1,2,1.0,2021,70.0,2.0,2.0,1.0,3,2.0,2.0,1.0,90.0,28,4,1,3,3080,1,2,1.0,3.0,46.103497,3.260517,13,5,2
1,1,2,1.0,2021,49.0,2.0,2.0,1.0,1,1.0,2.0,1.0,90.0,11,11,3,13,13071,1,1,1.0,2.0,43.399109,5.296419,0,3,2
1,1,1,2.0,2021,76.0,1.0,0.0,1.0,3,2.0,1.0,8.0,50.0,15,7,1,974,97415,2,3,0.0,6.0,-21.042134,55.254946,9,1,1
1,1,1,2.0,2021,17.0,1.0,2.0,1.0,2,3.0,1.0,1.0,90.0,15,9,1,35,35238,1,1,0.0,2.0,48.092048,-1.626963,18,2,2
1,1,1,1.0,2021,40.0,2.0,0.0,1.0,3,2.0,1.0,8.0,80.0,25,7,3,77,77042,1,1,0.0,7.0,48.815415,3.144777,22,1,1
1,1,1,2.0,2021,35.0,1.0,2.0,1.0,3,3.0,1.0,1.0,50.0,26,10,1,92,92002,2,9,0.0,3.0,48.7604215504,2.307767272,16,2,2
1,1,1,2.0,2021,27.0,1.0,2.0,1.0,3,3.0,1.0,1.0,50.0,9,7,2,92,92026,2,1,0.0,3.0,48.89625,2.25642,21,2,2
1,1,1,2.0,2021,32.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,4,3,1,75,75119,2,3,0.0,3.0,48.887127,2.386772,13,2,2
1,1,2,1.0,2021,56.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,29,1,1,37,37122,2,3,0.0,3.0,47.3551577518,0.6669511199,13,2,2
1,1,2,1.0,2021,41.0,2.0,2.0,1.0,3,3.0,1.0,1.0,50.0,4,3,1,78,78440,2,3,0.0,3.0,48.99496,1.91369,11,2,2
1,1,2,1.0,2021,28.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,28,5,2,1,1374,1,2,0.0,3.0,46.118608968,5.2973377192,20,2,2
10,3,1,0.0,2021,81.0,2.0,1.0,1.0,4,2.0,1.0,8.0,50.0,14,10,2,33,33249,2,1,0.0,6.0,44.87573,-0.51865,7,2,1
10,3,2,0.0,2021,24.0,2.0,1.0,1.0,3,2.0,1.0,1.0,50.0,6,4,1,79,79191,2,1,0.0,7.0,46.32473,-0.46797,12,2,1
1,1,1,2.0,2021,22.0,1.0,2.0,1.0,4,3.0,1.0,5.0,50.0,18,9,1,69,69259,2,1,0.0,3.0,45.7151294356,4.8722648621,12,2,2
1,1,2,1.0,2021,36.0,2.0,0.0,1.0,3,2.0,2.0,1.0,80.0,8,9,1,49,49015,2,1,0.0,6.0,47.515865,-0.619523,13,2,1
3,2,1,1.0,2021,4.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,25,3,1,64,64102,2,1,0.0,2.0,43.50264,-1.48395,8,3,2
1,1,1,1.0,2021,18.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,5,11,3,85,85277,1,1,0.0,6.0,46.529616,-1.42848,18,3,2
1,1,1,2.0,2021,68.0,1.0,2.0,6.0,3,2.0,2.0,1.0,50.0,13,1,1,6,6030,2,1,0.0,2.0,43.5672,6.97019,9,2,2
2,2,1,1.0,2021,21.0,5.0,0.0,1.0,3,2.0,2.0,3.0,80.0,1,8,3,73,73290,1,1,1.0,6.0,45.297082,6.936736,1,3,1
1,1,2,2.0,2021,37.0,1.0,2.0,1.0,4,4.0,1.0,1.0,30.0,3,10,1,971,97113,1,9,0.0,3.0,16.2159795132,-61.523630619,11,2,2
2,2,1,1.0,2021,7.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,20,8,5,6,6069,2,1,0.0,1.0,43.65051,6.9211,23,3,2
1,1,1,1.0,2021,29.0,4.0,2.0,1.0,2,3.0,1.0,1.0,90.0,15,2,1,95,95572,1,1,0.0,2.0,49.04997,2.14333,15,2,2
1,1,1,8.0,2021,18.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,18,7,1,31,31555,2,1,0.0,2.0,43.64418,1.41503,17,3,2
1,1,1,8.0,2021,61.0,1.0,2.0,1.0,7,2.0,1.0,1.0,50.0,3,11,1,69,69202,2,2,0.0,3.0,45.72303,4.78025,8,2,2
1,1,1,1.0,2021,34.0,2.0,2.0,1.0,4,2.0,2.0,1.0,50.0,8,12,5,87,87085,2,2,0.0,3.0,45.83445,1.26093,23,2,2
7,2,1,8.0,2021,20.0,2.0,0.0,1.0,3,2.0,2.0,3.0,80.0,1,1,3,1,1005,1,1,1.0,6.0,45.998254,4.93227,6,3,1
1,1,1,2.0,2021,23.0,1.0,2.0,1.0,1,3.0,1.0,1.0,110.0,24,6,3,93,93010,1,1,0.0,2.0,48.90874,2.47377,1,3,2
1,1,1,2.0,2021,22.0,1.0,2.0,1.0,4,1.0,1.0,1.0,50.0,19,7,1,64,64445,2,3,0.0,3.0,43.2964,-0.3742,18,2,2
10,3,2,0.0,2021,53.0,5.0,1.0,1.0,4,1.0,2.0,1.0,50.0,4,10,1,69,69383,2,2,1.0,6.0,45.75756,4.85642,8,2,1
1,1,2,1.0,2021,37.0,2.0,2.0,1.0,3,2.0,1.0,1.0,30.0,8,10,5,93,93045,2,1,0.0,3.0,48.87873,2.42234,20,2,2
1,1,1,2.0,2021,26.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,9,1,5,75,75119,2,2,0.0,3.0,48.87554,2.399226,19,2,2
1,1,1,2.0,2021,55.0,1.0,0.0,1.0,1,3.0,1.0,1.0,70.0,4,5,5,13,13055,1,1,0.0,7.0,43.33054,5.3917,22,1,1
1,1,2,8.0,2021,22.0,2.0,0.0,1.0,1,3.0,2.0,1.0,110.0,29,1,1,1,1228,1,1,1.0,6.0,46.134973,5.523913,17,1,1
10,3,1,0.0,2021,58.0,2.0,1.0,1.0,4,2.0,1.0,3.0,50.0,12,8,1,971,97101,1,9,0.0,6.0,16.25983,-61.49702,18,4,1
1,1,2,1.0,2021,58.0,2.0,2.0,1.0,1,1.0,1.0,1.0,130.0,31,7,1,72,72031,1,1,0.0,3.0,48.088257,0.505328,17,2,2
1,1,1,2.0,2021,14.0,1.0,2.0,1.0,4,2.0,2.0,1.0,80.0,4,6,1,82,82179,1,1,1.0,3.0,44.164344,1.604497,17,2,2
10,3,2,0.0,2021,81.0,3.0,1.0,3.0,4,4.0,1.0,6.0,40.0,15,2,1,83,83069,2,8,0.0,6.0,43.10966,6.12207,16,2,1
2,2,1,1.0,2021,38.0,2.0,2.0,1.0,4,1.0,2.0,1.0,70.0,16,2,5,75,75119,2,4,0.0,4.0,48.899734,2.392334,20,10,4
1,1,2,1.0,2021,30.0,2.0,2.0,1.0,4,1.0,1.0,1.0,50.0,8,3,5,69,69386,2,2,0.0,3.0,45.76739,4.85074,5,2,2
1,1,1,1.0,2021,22.0,2.0,2.0,1.0,4,1.0,1.0,1.0,30.0,8,10,1,58,58194,2,7,0.0,3.0,46.9939,3.1654,9,2,2
1,1,1,2.0,2021,24.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,1,10,1,33,33281,2,3,0.0,3.0,44.84136,-0.64438,12,2,2
1,1,1,2.0,2021,32.0,1.0,0.0,1.0,3,2.0,1.0,1.0,50.0,10,7,5,201,201004,2,1,0.0,7.0,41.908,8.685,1,1,1
1,1,1,2.0,2021,45.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,9,7,1,201,201247,2,3,0.0,1.0,41.605624,9.279628,21,3,2
10,3,2,0.0,2021,15.0,5.0,1.0,1.0,3,2.0,1.0,1.0,50.0,17,11,2,47,47157,2,3,0.0,6.0,44.496887,0.172603,7,2,1
1,1,1,8.0,2021,55.0,1.0,2.0,5.0,3,2.0,1.0,1.0,30.0,6,6,1,94,94033,2,2,0.0,2.0,48.852574,2.490785,17,4,2
10,3,1,0.0,2021,4.0,2.0,1.0,1.0,4,1.0,1.0,1.0,30.0,3,9,1,75,75110,2,2,0.0,6.0,48.875324,2.350924,17,2,1
1,1,2,1.0,2021,32.0,2.0,0.0,1.0,3,3.0,2.0,3.0,80.0,16,3,4,76,76565,1,6,1.0,7.0,49.87349,1.09983,21,1,1
1,1,2,1.0,2021,66.0,2.0,0.0,1.0,3,2.0,2.0,8.0,80.0,21,1,1,53,53127,1,6,1.0,7.0,48.432479,-0.492271,14,1,1
1,1,1,2.0,2021,18.0,1.0,2.0,1.0,6,2.0,1.0,1.0,50.0,15,10,3,65,65127,2,9,0.0,3.0,43.111957,0.355114,19,2,2
1,1,1,2.0,2021,16.0,1.0,0.0,1.0,3,2.0,1.0,1.0,50.0,22,10,1,973,97302,2,9,0.0,3.0,4.9354239936,-52.2946801187,7,2,2
1,1,1,2.0,2021,39.0,1.0,2.0,1.0,4,1.0,1.0,1.0,70.0,25,5,1,75,75120,2,1,0.0,3.0,48.861712,2.413697,14,2,2
1,1,1,2.0,2021,42.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,28,8,1,201,201004,2,1,0.0,3.0,41.9465,8.76466,14,2,2
1,1,2,1.0,2021,38.0,4.0,0.0,1.0,3,2.0,1.0,3.0,90.0,26,7,1,12,12089,1,1,0.0,6.0,44.58568,2.24784,8,1,1
1,1,1,1.0,2021,48.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,20,11,5,67,67043,2,3,0.0,3.0,48.6098,7.76037,1,3,2
1,1,1,2.0,2021,21.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,26,8,1,87,87085,2,1,0.0,3.0,45.83397,1.25636,17,2,2
1,1,1,1.0,2021,20.0,2.0,0.0,1.0,3,2.0,2.0,3.0,70.0,28,6,2,38,38377,1,1,0.0,6.0,45.577388,5.507219,20,1,1
1,1,2,1.0,2021,27.0,2.0,2.0,1.0,2,1.0,1.0,1.0,90.0,6,10,1,13,13004,1,1,0.0,3.0,43.66922,4.62609,8,2,2
2,1,1,2.0,2021,40.0,1.0,2.0,1.0,2,2.0,1.0,1.0,70.0,19,7,1,971,97113,1,1,0.0,1.0,16.21733,-61.4842,14,4,2
1,1,1,2.0,2021,30.0,1.0,2.0,1.0,4,1.0,1.0,1.0,30.0,9,10,1,93,93001,2,2,0.0,3.0,48.90743,2.38477,16,2,2
1,1,1,8.0,2021,45.0,5.0,0.0,1.0,4,2.0,1.0,1.0,50.0,30,8,3,87,87085,2,1,0.0,6.0,45.8437,1.24565,6,1,1
1,1,1,2.0,2021,60.0,1.0,6.0,1.0,3,2.0,2.0,1.0,80.0,25,10,3,17,17485,1,1,0.0,6.0,45.868646,-1.231005,23,1,1
1,1,1,1.0,2021,71.0,2.0,2.0,1.0,3,2.0,1.0,1.0,30.0,19,9,3,93,93066,2,1,0.0,2.0,48.9323024554,2.3489661871,2,2,2
1,1,1,2.0,2021,61.0,1.0,2.0,1.0,3,1.0,1.0,1.0,50.0,15,11,1,5,5061,2,3,0.0,3.0,44.5612,6.07969,11,2,2
1,1,2,1.0,2021,19.0,2.0,2.0,1.0,1,3.0,2.0,1.0,90.0,29,9,1,33,33318,1,1,1.0,2.0,44.788981,-0.622697,8,2,2
10,3,2,0.0,2021,72.0,1.0,1.0,5.0,4,2.0,2.0,1.0,20.0,24,5,1,61,61153,2,1,1.0,6.0,48.717951,-0.124353,12,2,1
10,3,1,8.0,2021,22.0,2.0,1.0,3.0,4,1.0,1.0,1.0,30.0,22,11,5,60,60159,2,1,0.0,6.0,49.4191423658,2.8226829087,18,2,1
1,1,1,2.0,2021,51.0,1.0,2.0,1.0,2,2.0,1.0,1.0,50.0,10,4,1,971,97113,2,3,0.0,3.0,16.20852,-61.4672,16,2,2
1,1,2,1.0,2021,42.0,2.0,0.0,1.0,3,1.0,1.0,1.0,50.0,10,7,1,94,94081,2,2,0.0,3.0,48.794764,2.417874,19,8,2
1,1,2,8.0,2021,36.0,2.0,0.0,1.0,4,2.0,1.0,1.0,50.0,11,11,5,68,68007,2,1,0.0,2.0,48.064768,7.415466,19,3,2
10,3,1,0.0,2021,19.0,2.0,1.0,1.0,3,2.0,1.0,6.0,50.0,28,9,1,92,92025,2,3,0.0,6.0,48.9231025819,2.2540453076,17,2,1
1,1,1,2.0,2021,45.0,1.0,2.0,1.0,3,2.0,8.0,1.0,50.0,13,3,1,93,93031,2,3,1.0,3.0,48.96004,2.2919,9,2,2
1,1,1,2.0,2021,43.0,1.0,2.0,1.0,4,2.0,1.0,1.0,30.0,9,10,2,75,75112,2,3,0.0,3.0,48.843331,2.405388,7,2,2
1,1,1,1.0,2021,37.0,2.0,0.0,1.0,1,1.0,1.0,1.0,90.0,17,8,2,13,13117,1,1,0.0,5.0,43.42423,5.26521,6,3,1
10,3,1,0.0,2021,8.0,2.0,9.0,1.0,4,2.0,2.0,1.0,50.0,31,10,1,91,91687,2,1,1.0,6.0,48.66343,2.37385,15,2,1
1,1,1,2.0,2021,31.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,29,4,1,44,44109,2,3,0.0,1.0,47.25034,-1.5768,8,2,2
10,3,2,0.0,2021,13.0,2.0,1.0,1.0,4,2.0,1.0,1.0,30.0,7,10,1,69,69275,2,1,0.0,6.0,45.7713,4.97584,14,2,1
1,1,1,3.0,2021,5.0,1.0,2.0,5.0,4,2.0,2.0,4.0,30.0,24,5,1,92,92050,2,9,1.0,3.0,48.9011323539,2.2166593373,16,2,2
1,1,2,2.0,2021,70.0,1.0,2.0,5.0,3,2.0,1.0,1.0,50.0,26,5,1,65,65447,2,3,0.0,3.0,43.184351,0.242777,10,2,2
1,1,1,1.0,2021,20.0,2.0,0.0,1.0,4,2.0,1.0,3.0,80.0,13,9,1,27,27367,1,1,0.0,6.0,49.242217,0.475481,17,1,1
1,1,1,2.0,2021,62.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,6,9,1,38,38261,2,6,0.0,2.0,45.672738,5.471181,11,2,2
1,1,1,1.0,2021,69.0,5.0,2.0,1.0,2,2.0,1.0,1.0,90.0,6,9,1,9,9013,1,1,0.0,6.0,42.975544,1.622501,10,3,3
1,1,1,1.0,2021,42.0,2.0,2.0,1.0,4,2.0,2.0,1.0,70.0,4,5,1,45,45286,2,1,1.0,4.0,47.8878110534,1.9243097386,12,4,3
1,1,2,1.0,2021,27.0,2.0,0.0,1.0,3,2.0,1.0,3.0,80.0,12,10,3,79,79116,1,1,0.0,6.0,46.833253,-0.377462,3,2,1
1,1,1,2.0,2021,53.0,1.0,2.0,1.0,4,1.0,2.0,1.0,50.0,11,3,1,56,56007,2,6,0.0,3.0,47.663841,-3.009675,9,2,2
1,1,1,1.0,2021,28.0,2.0,0.0,1.0,1,3.0,1.0,1.0,130.0,28,9,1,73,73151,1,1,0.0,6.0,45.460528,6.01025,10,1,1
1,1,2,8.0,2021,34.0,2.0,2.0,1.0,3,2.0,1.0,1.0,70.0,13,10,1,92,92026,2,1,0.0,2.0,48.8994796118,2.2717854381,13,4,2
10,3,1,0.0,2021,35.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,13,8,1,76,76231,2,1,0.0,6.0,49.29093,1.007301,19,2,1
2,2,2,1.0,2021,49.0,2.0,2.0,1.0,1,3.0,1.0,1.0,90.0,17,5,1,94,94022,1,1,0.0,4.0,48.7755,2.41311,8,6,5
1,1,1,1.0,2021,46.0,2.0,2.0,1.0,1,3.0,1.0,1.0,130.0,25,3,1,78,78217,1,1,0.0,2.0,48.963206,1.837368,14,5,2
1,1,2,1.0,2021,25.0,2.0,2.0,1.0,1,1.0,2.0,1.0,50.0,25,11,5,87,87085,1,1,0.0,6.0,45.84859,1.27642,18,1,1
1,1,1,8.0,2021,29.0,1.0,0.0,3.0,4,2.0,1.0,5.0,50.0,20,4,1,75,75102,2,3,0.0,6.0,48.871712,2.341606,19,1,1
1,1,1,1.0,2021,30.0,2.0,2.0,1.0,1,1.0,1.0,1.0,90.0,19,11,3,78,78640,1,1,0.0,2.0,48.77697,2.22442,20,2,2
1,1,2,2.0,2021,45.0,1.0,0.0,1.0,3,2.0,2.0,1.0,80.0,14,9,1,34,34016,1,1,1.0,7.0,43.595063,3.635101,13,1,1
10,3,1,0.0,2021,53.0,2.0,1.0,1.0,4,2.0,2.0,1.0,30.0,12,7,1,60,60159,2,1,0.0,6.0,49.39546,2.79322,11,2,1
10,3,1,0.0,2021,13.0,2.0,1.0,1.0,3,2.0,1.0,1.0,50.0,24,3,1,91,91027,2,3,1.0,6.0,48.710785,2.388383,8,2,1
1,1,1,1.0,2021,21.0,2.0,0.0,1.0,2,1.0,1.0,1.0,90.0,26,12,3,26,26170,1,1,1.0,6.0,44.91743,4.94071,1,2,1
1,1,1,2.0,2021,21.0,1.0,2.0,1.0,7,2.0,1.0,1.0,80.0,14,7,1,13,13047,1,1,0.0,3.0,43.52397,5.00765,18,3,2
1,1,1,0.0,2021,20.0,1.0,2.0,5.0,4,1.0,1.0,1.0,50.0,8,2,1,69,69383,2,2,0.0,3.0,45.75624,4.84039,17,2,2
1,1,1,1.0,2021,67.0,2.0,0.0,1.0,1,3.0,1.0,2.0,130.0,24,9,1,52,52432,1,1,0.0,6.0,47.9462464007,5.3079628946,16,2,1
1,1,2,1.0,2021,26.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,6,11,1,33,33033,1,9,0.0,3.0,44.72263,-0.428574,11,2,2
1,1,1,2.0,2021,19.0,1.0,2.0,1.0,3,2.0,2.0,1.0,50.0,5,12,5,93,93078,2,9,1.0,3.0,48.95552,2.53901,17,2,2
1,1,2,1.0,2021,63.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,21,5,1,93,93062,2,1,1.0,2.0,48.8964448138,2.5269874335,17,2,2
1,1,1,2.0,2021,35.0,1.0,2.0,1.0,7,2.0,1.0,1.0,50.0,12,5,1,13,13213,2,1,0.0,4.0,43.33067,5.43071,7,3,3
1,1,1,2.0,2021,42.0,1.0,2.0,6.0,4,2.0,1.0,1.0,50.0,7,12,2,83,83050,2,3,0.0,3.0,43.52813,6.48094,17,2,2
1,1,1,2.0,2021,22.0,1.0,2.0,1.0,1,3.0,1.0,1.0,90.0,2,7,1,95,95572,1,1,0.0,3.0,49.03401,2.10276,17,2,2
1,1,2,8.0,2021,29.0,1.0,2.0,5.0,4,2.0,1.0,5.0,50.0,8,1,1,64,64102,2,1,0.0,3.0,43.48685,-1.47,14,2,2
1,1,1,1.0,2021,58.0,2.0,0.0,1.0,3,2.0,1.0,1.0,50.0,7,7,2,84,84085,2,1,0.0,7.0,43.951119,5.243161,20,1,1
1,1,1,8.0,2021,18.0,1.0,0.0,1.0,4,2.0,1.0,1.0,50.0,28,5,1,973,97302,2,1,0.0,7.0,4.9309192532,-52.3149572611,12,1,1
10,3,2,0.0,2021,58.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,1,12,1,30,30028,2,1,0.0,6.0,44.15677,4.61144,10,2,1
1,1,1,0.0,2021,27.0,1.0,2.0,3.0,3,1.0,1.0,1.0,50.0,12,8,1,94,94076,2,1,0.0,3.0,48.785675,2.366863,16,2,2
1,1,1,2.0,2021,17.0,1.0,2.0,1.0,4,2.0,1.0,1.0,30.0,17,4,1,37,37156,2,3,0.0,6.0,47.3832702616,0.8268329088,16,4,3
7,2,2,1.0,2021,15.0,3.0,9.0,1.0,1,3.0,2.0,1.0,70.0,18,5,1,69,69091,1,1,1.0,4.0,45.58998,4.77279,11,6,3
1,1,2,1.0,2021,71.0,2.0,2.0,1.0,7,2.0,1.0,1.0,50.0,30,9,2,76,76095,2,2,0.0,3.0,49.46208,1.12622,19,2,2
2,2,1,1.0,2021,36.0,5.0,2.0,1.0,4,3.0,1.0,1.0,50.0,26,1,1,87,87085,2,1,0.0,2.0,45.81987,1.24953,9,3,2
1,1,1,8.0,2021,61.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,4,5,1,31,31555,2,1,0.0,3.0,43.615959,1.42149,8,2,2
2,2,1,1.0,2021,28.0,5.0,0.0,1.0,1,3.0,2.0,1.0,70.0,6,2,5,94,94073,1,1,1.0,3.0,48.7609888888,2.3826099002,20,3,2
10,3,2,0.0,2021,80.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,15,11,2,37,37214,2,1,0.0,6.0,47.3970002074,0.6636241078,17,2,1
1,1,1,8.0,2021,16.0,1.0,2.0,5.0,7,2.0,1.0,4.0,50.0,25,10,1,6,6123,2,1,0.0,3.0,43.667543,7.192388,17,2,2
1,1,2,1.0,2021,26.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,20,12,3,49,49215,1,2,0.0,3.0,47.113824,-0.122792,7,2,2
1,1,1,2.0,2021,21.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,7,9,1,6,6027,2,1,0.0,1.0,43.66594,7.16704,7,3,2
1,1,1,2.0,2021,59.0,1.0,2.0,1.0,7,2.0,1.0,1.0,50.0,2,7,1,13,13212,2,1,0.0,3.0,43.303,5.473,14,2,2
10,3,1,0.0,2021,12.0,2.0,1.0,2.0,3,3.0,1.0,1.0,50.0,17,12,1,76,76452,2,1,0.0,6.0,49.54421,1.073758,15,3,1
